gameId, Date,  Player_one, Country_P1, Player_two, Country_P2, SET-A_CONTEXT, SET-B_CONTEXT ,,,,,,,,,,,,,,,,,,,,
 a246c2d0-d0c2-11e9-a380-efcf2a59dbde, Fri Sep 06 2019 09:23:17 GMT-0700 (Pacific Daylight Time),25609, USA,79371,  INDIA, False, True ,,,,,,,,,,,,,,,,,,,,
S. No, Question#, Set, player, lossVal, time, loss-c1p1, loss-c1p2, loss-c2p1, loss-c2p2, actual_prob-c1p1, actual_prob-c1p2, actual_prob-c2p1, actual_prob-c2p2, sch_prob-c1p1, sch_prob-c1p2, sch_prob-c2p1, sch_prob-c2p2, Turns ,,,,,,,,,
78,34,1,79371,0,5,17,1.67,17.01,10.85,0.11,0.89,0.55,0.45,0.2,0.8,0.6,0.4, 0 | 0 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 1,,,,,,,,,
79,35,1,25609,1,10,17,1.67,18.68,10.85,,,,,,,,,,,,,,,,,,
80,36,1,25609,1,10,22,1.67,18.68,10.85,,,,,,,,,,,,,,,,,,
81,37,1,79371,0,8,22,1.67,18.68,10.85,,,,,,,,,,,,,,,,,,
82,38,1,79371,0,7,22,1.67,18.68,10.85,,,,,,,,,,,,,,,,,,
83,39,1,25609,1,10,22,1.67,20.35,10.85,,,,,,,,,,,,,,,,,,
84,40,1,79371,0,7,22,1.67,20.35,10.85,,,,,,,,,,,,,,,,,,
85,41,1,79371,1,8,22,1.67,20.35,13.35,,,,,,,,,,,,,,,,,,
86,42,1,79371,0,5,22,1.67,20.35,13.35,,,,,,,,,,,,,,,,,,
87,43,1,25609,1,10,22,1.67,22.02,13.35,,,,,,,,,,,,,,,,,,
88,44,1,79371,0,5,22,1.67,22.02,13.35,,,,,,,,,,,,,,,,,,
